Cell ID,Yao2021_CTKE_Ttype_M1,Tasic2018_Ttype_VISp,Subclass,AP Fano factor,AP amplitude (mV),AP amplitude adaptation index,AP amplitude average adaptation index,AP coefficient of variation,AP threshold (mV),AP width (ms),Afterdepolarization (mV),Afterhyperpolarization (mV),Burstiness,ISI Fano factor,ISI adaptation index,ISI average adaptation index,ISI coefficient of variation,Input resistance (M?),Latency (ms),Latency @ +20pA current (ms),Max number of APs,Membrane time constant (ms),Rebound (mV),Rebound APs (number),Resting membrane potential (mV),Rheobase (pA),Sag area (mV*s),Sag ratio,Sag time (s),Spike frequency adaptation,Upstroke-to-downstroke ratio,Wildness,Age (postnatal days),Sex,Mouse genotype,Targeted layer,Inferred layer,Cre (+ or -),CTKE T type confidence
20180425_sample_5,Sncg Npy2r,Sncg Vip Itih5,Sncg,12.45833857,84.26027372,0.854622668,0.996137845,0.501196726,-31.96112812,1.04,0,6.925009191,0.818019625,0.027125095,6.676165803,3.063496152,0.743140948,464.3018537,74.4,41.16,13,25.64055279,2.232626014,0,-56.52660482,40,69.60211657,1.066187083,0.44868,0.5,2.542067222,0,89,M,wt/wt,L2/3,L2/3,WT,0.56
20180425_sample_7,Pvalb Il1rapl2,Pvalb Tpbg,Pvalb,0.972606226,66.40996784,0.931191162,0.996792596,0.14292807,-24.54805002,0.6,0,16.62255824,0,2.35E-05,1.007633588,1.008980824,0.057767832,102.902546,12.56,11.48,86,5.373255809,0.646445937,0,-53.49560464,249.1262136,0,1.028975854,0,0.931818182,1.205890382,0,89,M,wt/wt,L2/3,L2/3,WT,0.9
20180425_sample_8,Vip Sncg,Sncg Vip Nptx2,Vip,3.663476198,83.1348747,0.65908549,0.993425282,0.285772469,-39.03226182,1.12,0,5.538575351,0.751741609,0.039255694,1.482051282,3.086102272,1.00135747,482.9202076,69.08,38.32,16,25.18910169,1.325711305,0,-82.66405124,60,0,1.047406141,0,1,2.557834691,0,89,M,wt/wt,L2/3,L2/3,WT,0.89
20180425_sample_9,L2/3 IT_3,L2/3 IT VISp Rrad,IT,1.68365163,89.66767043,0.889700602,0.96221398,0.162652865,-33.25860202,1.4,0,6.821736693,0.765706806,0.020284206,2.417693169,1.732261065,0.557713055,52.2140443,100.32,76.12,10,8.595638119,0.26033639,0,-68.0439362,280,0,1.028183586,0,0.428571429,3.606662335,0,89,M,wt/wt,L2/3,L2/3,WT,0.86
20180426_sample_1,L5 ET_1,L5 PT VISp Krt80,ET,1.526580932,93.17125194,0.903456039,0.956443178,0.156166525,-31.05310537,2.6,0,5.289459601,0.467065868,0.00566222,1.931899642,1.699085609,0.298648076,111.6403517,138.8,90.64,10,11.90257905,0,0,-72.11683107,200,0,1.030005824,0,0.666666667,6.096094945,0,93,M,wt/wt,L2/3,L2/3,WT,0.89
20180426_sample_3,L2/3 IT_3,L2/3 IT VISp Adamts2,IT,1.856488495,81.40270784,0.699906404,0.959524946,0.18374411,-25.45296773,2.36,0,5.378911272,0.577794562,0.00532829,3.133182844,1.947179861,0.29601273,94.73453386,106.64,71.24,10,15.78138936,0.608400824,0,-58.69194144,160,0,1.036114306,0,0.666666667,4.398523045,0,93,M,wt/wt,L2/3,L2/3,WT,0.61
20180426_sample_4,L2/3 IT_3,L2/3 IT VISp Agmat,IT,0.865221857,96.19550034,0.91311006,0.97968862,0.106980409,-37.9679203,1.6,0,4.972238094,0.586072689,0.00380689,1.393048128,1.217404761,0.282209225,83.19217597,116.92,76.04,13,8.274209981,0.597313593,0,-79.15640894,220,0,1.092592872,0,0.625,4.563815293,0,93,M,wt/wt,L2/3,L2/3,WT,0.71
20180426_sample_5,Pvalb Reln,Pvalb Reln Itm2a,Pvalb,2.010589701,74.63713363,0.948864286,0.996718956,0.219632005,-37.58787364,0.6,0,15.77774435,0,0.000129091,1.130111524,1.019020458,0.126129351,232.2847779,71.48,10.4,74,10.16778647,4.842844352,0,-52.96948717,40,0,1.097161977,0,0.825,1.177766014,0,93,M,wt/wt,L2/3,L2/3,WT,0.35
20180426_sample_7,L4/5 IT_2,L5 IT ALM Lypd1 Gpr88,IT,0.912489805,84.5732186,0.912343269,0.977792818,0.118309822,-26.17236041,1.6,0,8.604681119,0.271641791,0.002424159,1.528134255,1.294175298,0.211298612,176.0575323,140.44,92,11,30.46233329,5.463607555,0,-56.36937291,80,43.30581435,1.154894397,0.49072,0.571428571,4.288172088,0,93,M,wt/wt,L5,L5,WT,0.98
20180426_sample_9,Pvalb Il1rapl2,Pvalb Gpr149 Islr,Pvalb,3.44075226,69.41903383,0.931511106,0.996894747,0.315627832,-23.38798717,0.6,0,17.15028286,0,0.000142229,1.141975309,1.009427623,0.137860894,129.2332857,23.12,16.12,81,8.501420051,0.796941798,0,-55.13632738,200,0,1.045283454,0,0.860465116,1.26149817,0,93,M,wt/wt,L2/3,L2/3,WT,0.31
20180501_sample_2,L2/3 IT_3,L2/3 IT VISp Rrad,IT,2.999798676,90.15274793,0.77029611,0.955040365,0.224280236,-40.34054652,2.44,0,4.219718277,0,0.013288915,2.338940286,2.005091333,0.400479035,132.6626902,186.56,75.32,8,19.49815908,0.023610002,0,-70.93377139,105,0,1.015368382,0,0.6,5.501740256,0,98,M,wt/wt,L2/3,L2/3,WT,0.94
20180501_sample_3,L2/3 IT_3,L2/3 IT VISp Agmat,IT,2.469426879,90.97887203,0.868243857,0.984514704,0.209138259,-36.23464704,1.6,0,6.709452718,0.593505412,0.003330419,1.768472906,1.220648029,0.291428866,133.2097609,95.88,56.2,16,13.45205579,0.245648827,0,-70.242814,103.1578947,0,1.057945889,0,0.777777778,4.480839562,0,98,M,wt/wt,L2/3,L2/3,WT,0.88
20180501_sample_4,L2/3 IT_3,L2/3 IT VISp Agmat,IT,0.74430519,91.45180508,0.849419043,0.967431584,0.102483879,-33.72351825,2,0,5.739521235,0.50412175,0.006289041,1.54821894,1.254474353,0.300329468,104.5033323,114.88,70.92,9,9.819253007,0.433732492,0,-74.34802378,160,0,1.103692211,0,0.8,4.985936976,0,98,M,wt/wt,L2/3,L2/3,WT,0.89
20180501_sample_5,L2/3 IT_3,L2/3 IT VISp Rrad,IT,1.392054236,95.02853081,0.809193783,0.921629871,0.13621125,-35.4045555,1.84,0,7.273126394,0.549210207,0.067136772,3.294512878,3.294512878,0.769872742,54.89222176,161.2,77.56,6,12.27754654,0.518621105,0,-69.75305418,260,0,1.077468884,0,0.5,5.136661617,0,98,M,wt/wt,L2/3,L2/3,WT,0.98
20180501_sample_8,Lamp5 Slc35d3,Lamp5 Lsp1,Lamp5,1.458974424,68.81253794,0.928987248,0.985709362,0.172324283,-22.43045717,1.84,0,18.29487458,0.605917956,0.002497682,1.244697362,1.086770795,0.272703182,228.9264259,588.68,91.96,28,8.853167533,3.124463699,0,-53.88194296,45.88235294,0,1.097043323,0,0.8,4.64372349,10,98,M,wt/wt,L2/3,L2/3,WT,0.51
20180502_sample_3,L4/5 IT_2,L5 IT ALM Tmem163 Dmrtb1,IT,1.615222801,94.32101808,0.921940639,0.988846493,0.161015219,-21.8425449,1.76,0,5.050184205,0.21641791,0.00234812,1.282878412,1.323975774,0.240659456,156.7863346,217.28,120.96,15,23.38318731,1.750215829,0,-51.1766151,60,0,1.08211729,0,0.666666667,4.847677204,0,86,M,wt/wt,L5,L5,WT,0.99
20180502_sample_4,L2/3 IT_3,L2/3 IT VISp Adamts2,IT,0.349288031,95.00059858,0.898017188,0.96066753,0.063315182,-34.79094431,1.8,0,6.77414611,0,0.008870099,1.794090489,1.42887928,0.256186483,60.93507901,151.6,98.24,5,6.524524198,0,0,-80.05467666,320,0,1.015132052,0,,4.423506636,0,86,M,wt/wt,L2/3,L2/3,WT,0.62
20180508_sample_1,Pvalb Il1rapl2,Pvalb Tpbg,Pvalb,2.3391165,79.3455746,0.918559391,0.995073123,0.249758197,-48.91074821,0.56,0,14.57848027,0,8.89E-05,1.33033033,1.05168232,0.119202024,198.6239695,21.84,12.96,96,11.68107795,0.573657889,0,-67.1473393,80,0,1.02701537,0,0.9,1.25074932,0,166,F,wt/wt,L2/3,L2/3,WT,0.79
20180508_sample_2,L5 IT_1,L5 IT ALM Lypd1 Gpr88,IT,5.141864693,96.52532637,0.767168015,1.001952574,0.299075458,-44.32544857,1.4,0,5.009658635,0.644642857,0.003398617,6.541528239,2.148144227,0.319703966,223.0294558,115.16,54.4,19,17.73117541,0.77859805,0,-72.22182364,60,0,1.074272795,0,0.8,3.867997186,0,166,F,wt/wt,L5,L5,WT,0.7
20180508_sample_3,L2/3 IT_3,L2/3 IT VISp Agmat,IT,4.560959662,92.51658618,0.727123745,0.958095715,0.263496259,-43.72163489,1.36,0,2.488281578,0.625189681,0.023946542,4.336032389,2.251824739,0.676695376,84.58764578,16.16,12.44,12,6.078269373,0.02063213,0,-73.86689306,320,0,1.026904646,0,0.571428571,3.447025677,0,166,F,wt/wt,L2/3,L2/3,WT,0.67
20180508_sample_4,L2/3 IT_3,L2/3 IT VISp Rrad,IT,1.747374807,91.51620045,0.72324433,0.914241227,0.158653706,-36.1687839,1.88,0,6.520483643,0.229632563,0.009423966,1.508124077,1.508124077,0.319637127,89.59656316,99.56,66.84,7,10.78805051,0,0,-79.29871898,240,0,1.012996571,0,0.75,5.662773026,0,166,F,wt/wt,L2/3,L2/3,WT,0.68
20180509_sample_2,L2/3 IT_3,L2/3 IT VISp Agmat,IT,1.517837612,88.97586167,0.783530571,0.93640831,0.149159245,-37.54758462,2,0,6.078094244,0.632864852,0.017617867,1.611940299,1.401654428,0.437557922,98.81342126,84.92,86.4,7,21.01428447,0,0,-71.12754659,200,0,1.025523283,0,0.4,4.201875722,0,83,M,wt/wt,L2/3,L2/3,WT,0.99
20180509_sample_3,L2/3 IT_3,L2/3 IT VISp Agmat,IT,1.519100057,90.6752795,0.811448901,0.915912089,0.149034667,-41.7997092,1.52,0,7.554929703,0.706989247,0.015415975,1.731144632,1.731144632,0.511394293,57.96154639,117.08,72.76,10,9.723151562,0.15924356,0,-79.90855878,240,0,1.060876288,0,0.428571429,4.399161056,0,83,M,wt/wt,L2/3,L2/3,WT,0.93
20180509_sample_4,L2/3 IT_3,L2/3 IT ALM Macc1 Lrg1,IT,,91.71120822,,,,-35.26262194,1.8,0,6.138648838,0,,,,,62.48290569,123.52,92.48,1,12.45227694,0.146728153,0,-78.10684339,340,0,1.036492299,0,,4.417979597,0,83,M,wt/wt,L2/3,L2/3,WT,0.9
20180509_sample_5,L2/3 IT_3,L2/3 IT VISp Agmat,IT,0.779351255,95.39321437,0.901900431,0.985631042,0.106619767,-38.39667886,1.68,0,4.78278473,0.330269206,0.002155765,2.672845227,1.658407891,0.212834882,91.58373583,167,89.52,13,9.629161476,0.147137399,0,-73.97973034,160,0,1.028086021,0,0.857142857,4.381881709,0,83,M,wt/wt,L2/3,L2/3,WT,0.85
20180509_sample_7,L5 IT_1,L5 IT ALM Tmem163 Arhgap25,IT,1.591640333,93.09404716,0.67937341,1.01574676,0.153543506,-46.31377757,1.76,0,-4.435833544,0,0.004782508,3.479508197,2.888752921,0.332476859,123.0244943,169.16,130.32,14,27.55780334,2.423682606,0,-71.44038157,80,0,1.084629392,0,0.555555556,4.406317761,0,83,M,wt/wt,L5,L5,WT,0.99
20180509_sample_9,L2/3 IT_3,L2/3 IT VISp Adamts2,IT,2.504530989,97.5115858,0.835895024,0.97877803,0.199080572,-48.42841625,2.36,0,-1.275543123,0.466869764,0.00447356,3.444306931,1.880531223,0.289329966,123.8648914,96.72,61.76,12,14.96048333,0,0,-76.26235814,120,0,1.024387726,0,0.714285714,6.784301816,0,83,M,wt/wt,L2/3,L2/3,WT,0.51
20180510_sample_2,Pvalb Reln,Pvalb Reln Itm2a,Pvalb,0.101662937,64.98273648,0.938827588,0.996592286,0.044214085,-45.25327682,0.68,0,13.4877041,0.247199403,6.11E-05,1.117647059,1.018815147,0.070199728,175.4581247,9.16,6,49,12.66341577,0.530974739,0,-56.218409,60,0,1.031276437,0,0.884615385,1.407475829,0,94,F,wt/wt,L2/3,L2/3,WT,1
20180510_sample_3,L2/3 IT_3,L2/3 IT VISp Rrad,IT,0.747370146,81.60834573,0.844461745,0.963408195,0.104766023,-29.67529558,1.92,0,7.991457358,0.653245831,0.051813992,1.928571429,1.746055937,0.737252619,134.0949983,169.64,72.84,7,13.78907699,0.315351084,0,-70.44204685,142.8571429,0,1.043761067,0,0.4,4.479923317,0,94,F,wt/wt,L2/3,L2/3,WT,0.95
20180510_sample_4,L2/3 IT_3,L2/3 IT ALM Macc1 Lrg1,IT,3.488812673,87.17137016,0.663364096,0.870994289,0.238884214,-30.01693822,1.96,0,8.515151218,0,0.020611066,2.464285714,2.091260078,0.547856354,80.43760292,121.28,82.92,5,10.01015512,0.250587937,0,-78.99651575,280,0,1.02566827,0,,4.802050839,0,94,F,wt/wt,L2/3,L2/3,WT,0.87
20180510_sample_5,L4/5 IT_2,L5 IT ALM Lypd1 Gpr88,IT,1.53342275,87.91330829,0.831835935,0.98814169,0.16252836,-37.02279553,2.12,0,-1.885570586,0.203357005,0.004534326,1.563063063,1.525554497,0.305009682,147.8326272,277.24,123.8,13,19.69521813,0.852331578,0,-57.88046066,60,0,1.037360931,0,0.625,5.07126328,0,94,F,wt/wt,L5,L5,WT,0.77
20180510_sample_9,L4/5 IT_2,L5 IT VISp Hsd11b1 Endou,IT,1.408193721,80.27297445,0.725975626,0.99761564,0.153292747,-28.24258618,1.52,3.630433232,3.788786009,0.628740614,0.002993682,2.44057377,1.233730856,0.296926605,351.3408916,153.92,63.6,18,22.6739827,1.223397665,0,-60.52865594,40,63.18277696,1.082643039,0.47836,0.8,3.631926059,0,94,F,wt/wt,L5,L5,WT,0.71
20180515_sample_1,Pvalb Reln,Pvalb Reln Itm2a,Pvalb,1.160096308,70.03893703,0.977472408,0.998545417,0.158103118,-37.25124523,0.56,0,21.61830664,0,4.70E-05,1.043307087,1.008800797,0.081116032,225.3764427,134.28,18.4,85,14.40329711,5.172733092,0,-61.53756548,60,52.20431068,1.182204545,0.51444,0.930232558,1.105518122,1,109,F,Pvalb-Cre/wt; Ai9/wt,L2/3,L2/3,PV+,0.73
20180515_sample_6,Pvalb Reln,Pvalb Reln Itm2a,Pvalb,3.141801276,74.81352985,0.945020308,0.996865381,0.286579024,-42.77510568,0.56,0,16.42766967,0,0.000176871,1.176245211,1.041937765,0.14616954,189.6413633,28.92,18.68,73,4.20863059,1.725499812,0,-86.97576287,140,0,1.0831295,0,0.894736842,1.076710263,0,109,F,Pvalb-Cre/wt; Ai9/wt,L5,L5,PV+,0.93
20180522_sample_1,L4/5 IT_1,L4 IT VISp Rspo1,IT,1.755469456,81.72039315,0.740794535,0.891117981,0.163227145,-36.7249921,1.64,0,4.97084856,0,0.023359403,1.181073703,1.709906771,0.580960289,62.63272256,43.12,29.4,5,7.04469877,0.030873335,0,-67.1015562,320,0,1.014041023,0,,3.757569591,0,106,M,wt/wt,L2/3,L2/3,WT,0.56
20180522_sample_2,L2/3 IT_3,L2/3 IT VISp Agmat,IT,1.679424535,90.02939984,0.81240729,0.966696284,0.161615778,-39.90976885,2.4,0,2.628881484,0.588231524,0.005148485,1.791426216,1.437000257,0.28377626,120.0474076,127.68,83,10,11.55762835,0.380393345,0,-82.68317484,160,0,1.065306896,0,0.666666667,5.17940037,0,106,M,wt/wt,L2/3,L2/3,WT,0.97
20180522_sample_3,L4/5 IT_2,L4 IT VISp Rspo1,IT,0.757232456,82.18463883,0.920453877,0.981492231,0.106318218,-34.81610492,1.56,0,7.822461426,0.192584964,0.001884618,1.489872468,1.251392842,0.187907694,183.3106157,156.72,94.2,12,28.30762723,3.84990915,0,-62.90791735,80,42.00770851,1.196512032,0.48088,0.714285714,4.222724195,0,106,M,wt/wt,L5,L5,WT,0.98
20180522_sample_4,L5 IT_1,L5 IT VISp Batf3,IT,2.742175221,74.95684922,0.716520375,0.975647568,0.234957604,-34.13681313,1.84,0,5.115702748,0.304272767,0.005118863,1.490264922,1.274392106,0.283937464,197.3589561,165.6,100.76,10,31.85850631,2.535758041,0,-72.72183564,81.81818182,52.79972356,1.13143832,0.47096,0.666666667,4.561466648,0,106,M,wt/wt,L5,L5,WT,0.91
20180522_sample_5,Pvalb Reln,Pvalb Reln Itm2a,Pvalb,1.814410076,68.4787035,0.981006157,0.999328236,0.20940629,-36.16317362,0.6,0,14.81704414,0,5.24E-05,1.116640747,1.005943101,0.081671015,123.7902352,141.84,42.76,77,8.161257755,1.261109652,0,-65.29221369,103.5616438,0,1.03335229,0,0.9,1.267041935,0,106,M,wt/wt,L2/3,L2/3,WT,0.47
20180522_sample_6,L5 ET_1,L5 PT VISp Krt80,ET,1.007078361,92.17567742,0.723766656,1.001877662,0.123109136,-43.84456202,1.4,0,-2.416282892,0.67255814,0.002250352,6.827893175,2.515959444,0.255001593,72.2322408,82.96,52.8,18,21.78534604,3.848580461,0,-62.65240496,62.5,0,1.280943053,0,0.8,3.311207865,0,106,M,wt/wt,L5,L5,WT,0.67
20180522_sample_7,L2/3 IT_3,L2/3 IT VISp Agmat,IT,0.749344969,90.07572755,0.828324918,0.967983221,0.100627154,-36.56928614,1.44,0,7.55911693,0.72166998,0.018463091,4.712439418,2.266962781,0.507025154,79.10970989,102.12,59.32,9,9.257704016,0.042529104,0,-74.56646428,200,0,1.067425585,0,0.5,3.750944538,0,106,M,wt/wt,L2/3,L2/3,WT,0.92
20180524_sample_8,L4/5 IT_2,L5 IT ALM Lypd1 Gpr88,IT,4.303310615,84.45867151,0.862165632,0.988775198,0.298382056,-41.13145173,1.68,0,6.100188941,0.231192661,0.001285404,1.167320261,1.043860291,0.204540598,148.4514875,66.76,22.12,20,7.923333462,0.270991368,0,-62.15131251,80,0,1.020793088,0,0.9,4.468998586,0,107,M,Scnn1a-Tg3-Cre/wt; Ai9/wt,L5,L5,SCNN1,0.95
20180524_sample_9,Pvalb Gpr149,Pvalb Reln Tac1,Pvalb,1.463712895,71.78668678,0.934019013,0.997457106,0.188456511,-27.68539637,0.56,0,16.89564809,0,0.000104702,1.140939597,1.00969236,0.121159181,118.0256915,20.2,13.08,84,8.141619506,0.981332899,0,-51.28300918,140,0,1.039430631,0,0.844444444,1.228391345,0,108,M,wt/wt,L2/3,L5,WT,0.43
20180529_sample_3,L4/5 IT_1,L5 IT ALM Pld5,IT,1.059351806,83.43897015,0.764023583,1.00016537,0.128923479,-41.63208976,1.4,0,1.124404371,0.620960699,0.001981214,4.807086614,2.004957422,0.250816638,221.9401652,107.52,66.92,19,23.7536261,2.844738043,0,-71.71713687,60,45.09598623,1.105408228,0.3924,0.727272727,3.406355428,0,245,F,Viaat-Cre/wt; Ai9/wt,L5,L2/3,VIAAT-,0.47
20180608_sample_1,Lamp5 Pax6,Lamp5 Krt73,Lamp5,2.399246997,89.1485624,0.761125655,0.943657022,0.206935356,-44.4303602,0.96,0,5.115125328,0.744783079,0.017164871,2.10880829,2.44966443,0.672185965,177.8750666,40.84,30.6,16,20.70764409,6.223571842,0,-62.10459299,80,48.1774167,1.191606782,0.49456,0.454545455,2.539363011,0,112,M,wt/wt,L2/3,L2/3,WT,1
20180608_sample_2,Pvalb Gpr149,Pvalb Gpr149 Islr,Pvalb,0.552138871,64.24202677,0.963740205,0.997758739,0.102060319,-57.30777979,0.6,0,14.31111246,0,9.44E-05,1.016666667,1.010722346,0.13429078,127.7422453,31.72,11.76,115,9.734581142,1.43769953,0,-69.3190849,60,0,1.066834049,0,0.965517241,1.062654966,0,112,M,wt/wt,L5,L5,WT,1
20180608_sample_3,L5 IT_1,L5 IT VISp Batf3,IT,0.589839366,83.2606107,0.92955777,0.976211603,0.094149725,-42.14153811,1.56,0,4.748757929,0.484195799,0.01523303,1.753749395,1.542254008,0.455169884,153.7639938,134.88,81.44,8,37.50364613,5.913061083,0,-68.41141691,60,51.34746639,1.290907503,0.50664,0.6,3.609585291,0,112,M,wt/wt,L5,L5,WT,0.7
20180608_sample_5,Pvalb Kank4,Pvalb Sema3e Kank4,Pvalb,0.124575002,70.14918141,0.887976149,0.994309875,0.046964354,-46.95200175,0.52,0,16.18404686,0,3.11E-05,1.105882353,1.319325538,0.06508381,93.92807588,10.6,8.72,82,11.11110091,0.359165509,0,-68.66627951,240,0,1.164940398,0,0.906976744,1.120296788,0,112,M,wt/wt,L5,L5,WT,0.75
20180619_sample_3,Pvalb Il1rapl2,Pvalb Tpbg,Pvalb,0.929708175,60.77215075,0.974081339,0.998626341,0.138042637,-27.82512084,0.64,0,22.04331756,0,1.56E-05,0.915904936,1.003039123,0.042426542,95.92608016,105.24,88.52,71,7.595897808,0.512090255,0,-64.90092252,260,0,1.038577045,0,0.971428571,1.235853187,1,123,M,wt/wt,L2/3,L2/3,WT,0.69
20180619_sample_5,L2/3 IT_3,L2/3 IT VISp Rrad,IT,1.454641987,82.27599412,0.726869588,0.923731707,0.156807514,-29.58129346,1.68,0,6.206944585,0.743996672,0.009325385,1.879044684,1.556506734,0.358286559,80.93272486,73.88,57.84,9,9.208631143,0.021701032,0,-74.9556316,240,0,1.045978947,0,0.8,3.857092239,0,123,M,wt/wt,L2/3,L2/3,WT,0.96
20180619_sample_7,Lamp5 Pdlim5_2,Lamp5 Plch2 Dock5,Lamp5,0.904574763,63.90149333,0.840224992,0.9830167,0.1379029,-22.40251563,1.08,0,12.11244054,0,0.008681984,1.131386861,1.065411505,0.460549559,249.7157703,28.04,14.48,14,9.793101724,2.033816322,0,-60.64006235,160,0,1.052089445,0,0.4,2.68319114,0,123,M,wt/wt,L2/3,L5,WT,0.51
20180621_sample_1,L2/3 IT_3,L2/3 IT VISp Rrad,IT,2.808329672,88.63486722,0.706042958,0.874605653,0.20733311,-37.2941792,2,0,5.958974361,0.57613967,0.021298999,1.715441176,1.715441176,0.448121308,91.81498048,87.6,63.12,6,9.436852533,0.102904259,0,-80.54522368,180,0,1.086587638,0,0.5,4.706850363,0,125,M,wt/wt,L2/3,L2/3,WT,0.9
20180621_sample_2,L2/3 IT_3,L2/3 IT VISp Rrad,IT,3.040406195,80.49415052,0.791842989,0.908218763,0.223960621,-33.36340934,2.12,0,7.93498382,0,0.082969053,2.11961367,2.11961367,0.852028164,58.68014946,219.24,110.8,5,10.30571348,0,0,-78.12796205,240,0,1.062969768,0,,5.108395155,0,125,M,wt/wt,L2/3,L2/3,WT,0.67
20180621_sample_3,Sncg Calb1_1,Sncg Slc17a8,Sncg,7.589488885,90.3237015,0.9199428,0.993711349,0.41454898,-35.26192158,0.84,4.338044673,8.916381747,0.404494382,0.008744802,1.324022346,1.116003947,0.586756791,466.9759065,45.32,15.6,23,21.65673409,1.636134151,0,-50.50954183,20,0,1.065996087,0,0.466666667,2.167129497,0,125,M,wt/wt,L2/3,L2/3,WT,0.62
20180621_sample_4,L2/3 IT_3,L2/3 IT VISp Agmat,IT,1.225810629,87.70238981,0.909919569,0.952592618,0.138747189,-34.31498632,1.76,0,9.728264064,0.382912793,0.008571558,1.493713328,1.378836607,0.348921833,57.72092155,115.4,83.72,9,9.136744508,0,0,-75.93031139,340,0,1.04721733,0,0.5,4.468702052,0,125,M,wt/wt,L2/3,L2/3,WT,0.92
20180621_sample_5,Vip Mybpc1_2,Vip Crispld2 Kcne4,Vip,1.605874686,73.50563817,0.876429492,0.991596765,0.186901402,-42.27781668,0.72,0,16.39677584,0,0.0001995,1.099585062,1.021177393,0.129140176,430.4393765,25.48,12.2,50,12.65343965,17.46823398,4,-56.50631996,20,68.14282243,1.258189553,0.51228,0.814814815,1.450466231,0,125,M,wt/wt,L2/3,L2/3,WT,1
20180621_sample_7,Pvalb Il1rapl2,Pvalb Tpbg,Pvalb,1.582753645,58.9096956,0.98894758,0.998896709,0.198361054,-24.93177354,0.52,0,20.70310712,0,3.90E-05,1.02173913,1.006523688,0.078306862,132.5822058,65.8,22.68,95,7.78078561,0.950458195,0,-59.24273176,160,0,1.050319258,0,0.918367347,1.119212929,0,125,M,wt/wt,L2/3,L2/3,WT,0.82
20180621_sample_8,Pvalb Reln,Pvalb Reln Itm2a,Pvalb,1.382286822,48.76242392,0.870316199,0.994935914,0.209484956,-29.72498536,0.8,0,8.116651326,0,0.000170202,1.267558528,1.019732467,0.132807422,102.1097963,7.04,4.52,62,4.189952563,0,0,-43.48335538,140,0,1.007616433,0,0.848484848,1.020721269,0,125,M,wt/wt,L2/3,L2/3,WT,0.75
20180628_sample_2,Pvalb Reln,Pvalb Reln Itm2a,Pvalb,1.413344936,68.18087585,0.915989539,0.996015946,0.184854398,-37.75062785,0.52,0,18.05696636,0,5.50E-05,1.174193548,1.020876646,0.093370897,139.1896915,18.68,13.76,96,8.680042805,1.949785331,0,-64.84478927,160,0,1.088993477,0,0.918367347,1.20640977,1,73,M,Pvalb-Cre/wt; Ai9/wt,L2/3,L5,PV+,0.9
20180628_sample_3,Pvalb Il1rapl2,Pvalb Tpbg,Pvalb,1.156526571,58.03002045,0.98589395,0.999261234,0.167661682,-31.85768425,0.56,0,17.31828973,0,1.99E-05,1.14884696,1.012125676,0.054413971,131.652037,205.96,58.08,90,6.791573013,0.945864879,0,-68.8792737,143.880597,0,1.020450338,0,0.934782609,1.202039568,0,73,M,Pvalb-Cre/wt; Ai9/wt,L2/3,L2/3,PV+,0.87
20180628_sample_6,Pvalb Il1rapl2,Pvalb Reln Itm2a,Pvalb,1.049333979,69.95398924,0.929418774,0.997969618,0.155522667,-37.19983622,0.52,0,14.80178908,0,2.86E-05,1.104072398,1.010885234,0.070326821,151.3856569,13.4,10.24,104,8.656902084,1.719962441,0,-62.16871112,160,0,1.058172646,0,0.943396226,1.123378258,0,73,M,Pvalb-Cre/wt; Ai9/wt,L2/3,L2/3,PV+,0.65
20180628_sample_7,Lamp5 Egln3_1,Sncg Vip Nptx2,Lamp5,1.077559775,74.99665022,0.815717343,0.981729609,0.151671056,-31.77924082,1.24,0,2.410262823,0.538913363,0.006343391,1.581453634,1.25841998,0.413773558,251.3976592,92.44,41.88,16,12.03944703,10.11432403,1,-58.35606808,60,0,1.075719823,0,0.777777778,3.132489174,0,73,M,Pvalb-Cre/wt; Ai9/wt,L1,L2/3,PV-,0.59
20180703_sample_1,Pvalb Il1rapl2,Pvalb Tpbg,Pvalb,1.298131046,73.5081248,0.954779098,0.997655411,0.162681328,-42.21753404,0.68,0,18.13575625,0,4.05E-05,1.087179487,1.00873663,0.069012468,220.7258478,14.04,10.88,71,10.97313476,3.122238711,0,-60.37894407,80,0,1.077983324,0,0.891891892,1.351605777,0,137,M,wt/wt,L5,L2/3,WT,0.89
20180703_sample_2,L5 IT_1,L5 IT ALM Gkn1 Pcdh19,IT,1.237455697,89.76751938,0.82367843,0.93089419,0.130228694,-40.69362208,2,0,5.417436361,0,0.057742734,1.84351799,1.722642053,0.741969018,90.56149229,82.48,60.04,6,19.89824108,0.871401597,0,-63.1040358,140,0,1.031185545,0,0.2,4.062048466,0,137,M,wt/wt,L5,L5,WT,0.89
20180704_sample_1,Pvalb Il1rapl2,Pvalb Reln Itm2a,Pvalb,1.09616616,63.27545084,0.942248279,0.996232404,0.150349019,-41.03525355,0.6,0,19.52655241,0,4.12E-05,1.057324841,1.006603169,0.067390307,174.2693328,38.8,13.36,67,13.63424393,1.624426226,0,-59.64723157,40,0,1.105942769,0,0.941176471,1.243591202,0,36,M,Pvalb-Cre/wt; Ai9/wt,L2/3,L2/3,PV+,0.55
