cell_type,annotation_name,term_order,unique_identifier,color,alias,parent_term
E14.5,age_text,4,"",#D98741,donor,""
E15,age_text,5,"",#D28A35,donor,""
E15.5,age_text,6,"",#CC8D29,donor,""
E16,age_text,7,"",#C5921E,donor,""
E16.5,age_text,8,"",#BF9813,donor,""
E17,age_text,9,"",#B3A500,donor,""
E17.5,age_text,10,"",#A1A663,donor,""
E18,age_text,11,"",#87994D,donor,""
E18.5,age_text,12,"",#C4FF66,donor,""
P0,age_text,13,"",#97F249,donor,""
P1,age_text,14,"",#66E62E,donor,""
P2,age_text,15,"",#34D916,donor,""
P3,age_text,16,"",#00CC00,donor,""
P4,age_text,17,"",#73BF7F,donor,""
P5,age_text,18,"",#59B375,donor,""
P6,age_text,19,"",#42A670,donor,""
P7,age_text,20,"",#2E9970,donor,""
P8,age_text,21,"",#33FFD0,donor,""
P9,age_text,22,"",#18F2E1,donor,""
P10,age_text,23,"",#00D4E6,donor,""
P11,age_text,24,"",#82C5D9,donor,""
P12,age_text,25,"",#66A5CC,donor,""
P13,age_text,26,"",#4D81BF,donor,""
P14,age_text,27,"",#365CB3,donor,""
P15,age_text,28,"",#2136A6,donor,""
P16,age_text,29,"",#0F0F99,donor,""
P17,age_text,30,"",#2700FF,donor,""
P19,age_text,31,"",#AF91F2,donor,""
P20,age_text,32,"",#A873E6,donor,""
P21,age_text,33,"",#A757D9,donor,""
P23,age_text,34,"",#AB3DCC,donor,""
P25,age_text,35,"",#B326BF,donor,""
P28,age_text,36,"",#B312A6,donor,""
P56,age_text,37,"",#C30000,donor,""
P127,age_text,38,"",#BD9E39,donor,""
