"sample_id","cluster","class","subclass","Genes.Detected","donor","sex","roi","percent_reads_aligned_to_introns"
"LS-15565_S53_E1-50","Inh L4-6 PVALB SULF1","GABAergic","PVALB",4326,"H200.1030","M","MTG_L5",52.8544512838525
"LS-15565_S54_E1-50","Exc L4-5 RORB FOLH1B","Glutamatergic","L5 IT",6227,"H200.1030","M","MTG_L5",59.2664313479593
"LS-15566_S60_E1-50","Exc L5-6 RORB TTC12","Glutamatergic","L5 IT",5968,"H200.1030","M","MTG_L5",57.4172898175764
"LS-15566_S61_E1-50","Exc L3-5 RORB FILIP1L","Glutamatergic","L4 IT",4311,"H200.1030","M","MTG_L5",49.3838194569785
"LS-15566_S65_E1-50","Exc L5-6 FEZF2 EFTUD1P1","Glutamatergic","L6b",6233,"H200.1030","M","MTG_L5",48.6322483431312
"LS-15566_S67_E1-50","Exc L5-6 THEMIS CRABP1","Glutamatergic","L6 IT",6220,"H200.1030","M","MTG_L5",43.9010257266623
"LS-15566_S68_E1-50","Inh L3-6 VIP HS3ST3A1","GABAergic","VIP",2919,"H200.1030","M","MTG_L5",42.0223398648586
"LS-15566_S71_E1-50","Exc L4-6 RORB C1R","Glutamatergic","L5 IT",3779,"H200.1030","M","MTG_L5",61.7283501301345
"LS-15566_S72_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",1884,"H200.1030","M","MTG_L5",51.1689361897031
"LS-15567_S49_E1-50","Inh L3-6 SST HPGD","GABAergic","SST",4544,"H200.1030","M","MTG_L5",58.0291785292205
"LS-15567_S50_E1-50","Exc L4-6 RORB SEMA3E","Glutamatergic","L5 IT",4835,"H200.1030","M","MTG_L5",50.023566811575
"LS-15567_S54_E1-50","Exc L5-6 FEZF2 IL15","Glutamatergic","L6b",5404,"H200.1030","M","MTG_L5",50.5001999891087
"LS-15567_S65_E1-50","Inh L2-4 SST FRZB","GABAergic","SST",3825,"H200.1030","M","MTG_L5",59.1725822018701
"SQ-80007_S57_E1-50","Inh L4-6 PVALB SULF1","GABAergic","PVALB",3198,"H200.1030","M","MTG_L5",63.0581428143479
"SQ-80007_S58_E1-50","Inh L1-3 VIP CHRM2","GABAergic","VIP",4129,"H200.1030","M","MTG_L5",49.9991012941835
"SQ-80007_S63_E1-50","Inh L1-3 VIP SYT6","GABAergic","VIP",5266,"H200.1030","M","MTG_L5",48.0345488007497
"SQ-80007_S64_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",1627,"H200.1030","M","MTG_L5",52.7390208819509
"SQ-80007_S65_E1-50","Exc L5-6 FEZF2 IL15","Glutamatergic","L6b",3979,"H200.1030","M","MTG_L5",62.6775828079947
"SQ-80007_S66_E1-50","Exc L5-6 FEZF2 IL15","Glutamatergic","L6b",4217,"H200.1030","M","MTG_L5",50.5467784966761
"SQ-80016_S75_E1-50","Exc L3-5 RORB TWIST2","Glutamatergic","L4 IT",3898,"H200.1030","M","MTG_L5",63.0058025887645
"SM-CZ1X2_S46_E1-50","Exc L4-5 RORB DAPK2","Glutamatergic","L5 IT",4480,"H200.1030","M","MTG_L5",61.9859523711606
"SM-CZ1X2_S48_E1-50","OPC L1-6 PDGFRA","Non-neuronal","OPC",2018,"H200.1030","M","MTG_L5",64.7629905465029
"SM-CZ1X2_S50_E1-50","Exc L3-5 RORB FILIP1L","Glutamatergic","L4 IT",4077,"H200.1030","M","MTG_L5",63.8693980960566
"SM-CZ1X4_S35_E1-50","Exc L2-4 LINC00507 GLP2R","Glutamatergic","L2/3 IT",3995,"H200.1030","M","MTG_L5",47.6694752475586
"SM-CZ1X5_S24_E1-50","Micro L1-6 TYROBP","Non-neuronal","Microglia",1444,"H200.1030","M","MTG_L5",51.4645930543087
"SM-CZ1X6_S02_E1-50","Exc L5-6 THEMIS DCSTAMP","Glutamatergic","L6 IT",5713,"H200.1030","M","MTG_L5",51.4730148208897
"SM-CZ1X6_S03_E1-50","Exc L4-5 FEZF2 SCN4B","Glutamatergic","L5 PT",5779,"H200.1030","M","MTG_L5",64.0235748823582
"SM-CZ1X6_S08_E1-50","Oligo L1-6 OPALIN","Non-neuronal","Oligo",2095,"H200.1030","M","MTG_L5",45.3723192451669
"SM-CZ1X6_S15_E1-50","Inh L4-6 SST B3GAT2","GABAergic","SST",2900,"H200.1030","M","MTG_L5",48.4236647278039
"SM-CZ1X6_S19_E1-50","Exc L4-5 RORB FOLH1B","Glutamatergic","L5 IT",4047,"H200.1030","M","MTG_L5",64.656230083825
"SM-CZ1X6_S23_E1-50","Inh L1-4 VIP OPRM1","GABAergic","VIP",4116,"H200.1030","M","MTG_L5",59.4856256718882
"LS-15925_S01_E1-50","Exc L5-6 THEMIS CRABP1","Glutamatergic","L6 IT",5341,"H200.1030","M","MTG_L5",52.3575121162574
"LS-15925_S02_E1-50","Exc L3-5 RORB ESR1","Glutamatergic","L4 IT",4634,"H200.1030","M","MTG_L5",52.5689593142946
"LS-15925_S03_E1-50","Exc L4-5 FEZF2 SCN4B","Glutamatergic","L5 PT",5365,"H200.1030","M","MTG_L5",47.4757810028899
"LS-15925_S10_E1-50","Inh L4-6 PVALB SULF1","GABAergic","PVALB",3257,"H200.1030","M","MTG_L5",52.2172408164049
"LS-15925_S11_E1-50","Inh L2-5 VIP SERPINF1","GABAergic","VIP",2760,"H200.1030","M","MTG_L5",61.7988793978246
"LS-15925_S12_E1-50","Exc L4-6 RORB C1R","Glutamatergic","L5 IT",3826,"H200.1030","M","MTG_L5",62.9386246119096
"LS-15925_S14_E1-50","Exc L4-6 FEZF2 IL26","Glutamatergic","L5/6 NP",4588,"H200.1030","M","MTG_L5",54.3547061814274
"LS-15925_S17_E1-50","Exc L4-6 RORB SEMA3E","Glutamatergic","L5 IT",4763,"H200.1030","M","MTG_L5",60.2502537375967
"LS-15925_S20_E1-50","Exc L4-6 FEZF2 IL26","Glutamatergic","L5/6 NP",4154,"H200.1030","M","MTG_L5",56.4612414206403
"LS-15926_S50_E1-50","Exc L4-5 RORB FOLH1B","Glutamatergic","L5 IT",6520,"H200.1030","M","MTG_L5",61.3274212095728
"LS-15926_S52_E1-50","Exc L4-6 RORB C1R","Glutamatergic","L5 IT",4849,"H200.1030","M","MTG_L5",44.5589009833356
"LS-15926_S58_E1-50","Exc L3-5 RORB ESR1","Glutamatergic","L4 IT",4092,"H200.1030","M","MTG_L5",57.7291902145545
"LS-15926_S59_E1-50","Exc L5-6 THEMIS FGF10","Glutamatergic","L6 IT",5119,"H200.1030","M","MTG_L5",49.0818040967747
"LS-15926_S61_E1-50","Exc L4-6 RORB SEMA3E","Glutamatergic","L5 IT",5002,"H200.1030","M","MTG_L5",52.6152787622194
"LS-15927_S01_E1-50","Exc L3-5 RORB FILIP1L","Glutamatergic","L4 IT",4391,"H200.1030","M","MTG_L5",63.5617020162307
"LS-15927_S07_E1-50","Exc L4-5 RORB DAPK2","Glutamatergic","L5 IT",4089,"H200.1030","M","MTG_L5",64.0144585256833
"LS-15927_S08_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",2265,"H200.1030","M","MTG_L5",52.9616411112219
"LS-15927_S19_E1-50","Exc L5-6 RORB TTC12","Glutamatergic","L5 IT",5208,"H200.1030","M","MTG_L5",50.1203425199317
"LS-15928_S04_E1-50","Inh L5-6 SST KLHDC8A","GABAergic","SST",4584,"H200.1030","M","MTG_L5",62.224053013093
"SM-D9CXK_S10_E1-50","Inh L5-6 SST MIR548F2","GABAergic","PVALB",4489,"H200.1030","M","MTG_L5",57.2763617349517
"SM-D9CXK_S15_E1-50","Exc L3-5 RORB ESR1","Glutamatergic","L4 IT",4384,"H200.1030","M","MTG_L5",43.25418722471
"SM-D9CXL_S11_E1-50","Exc L4-6 FEZF2 IL26","Glutamatergic","L5/6 NP",5193,"H200.1030","M","MTG_L5",58.1115791224352
"SM-D9CXL_S17_E1-50","Inh L4-5 SST STK32A","GABAergic","SST",3166,"H200.1030","M","MTG_L5",48.6921477187352
"SM-D9EPJ_S34_E1-50","Exc L5-6 THEMIS CRABP1","Glutamatergic","L6 IT",6165,"H200.1030","M","MTG_L6",56.5413149462301
"SM-D9EPJ_S37_E1-50","Exc L5-6 RORB TTC12","Glutamatergic","L5 IT",4363,"H200.1030","M","MTG_L6",61.7423915993871
"SM-D9EPJ_S45_E1-50","Exc L5-6 FEZF2 ABO","Glutamatergic","L6 CT",5297,"H200.1030","M","MTG_L6",53.7284653348741
"SM-D9EPK_S34_E1-50","Exc L5-6 FEZF2 ABO","Glutamatergic","L6 CT",5232,"H200.1030","M","MTG_L6",59.6727476753147
"SM-D9EPK_S39_E1-50","Inh L5-6 SST TH","GABAergic","SST",3858,"H200.1030","M","MTG_L6",62.6999216609318
"SM-D9EPK_S45_E1-50","Exc L5-6 FEZF2 EFTUD1P1","Glutamatergic","L6b",6295,"H200.1030","M","MTG_L6",56.0053079577768
"LS-15578_S60_E1-50","Exc L2 LAMP5 LTK","Glutamatergic","L2/3 IT",2483,"H200.1030","M","MTG_L1",51.1205503747724
"LS-15578_S61_E1-50","Inh L5-6 SST MIR548F2","GABAergic","PVALB",4984,"H200.1030","M","MTG_L1",59.1691852445474
"LS-15559_S49_E1-50","Inh L1 LAMP5 NMBR","GABAergic","LAMP5/PAX6/Other",3537,"H200.1030","M","MTG_L1",43.4076217761736
"LS-15559_S50_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",3059,"H200.1030","M","MTG_L1",52.257261285627
"LS-15559_S54_E1-50","Inh L1 SST CHRNA4","GABAergic","LAMP5/PAX6/Other",3048,"H200.1030","M","MTG_L1",46.2121491682049
"LS-15570_S74_E1-50","Inh L1 LAMP5 NMBR","GABAergic","LAMP5/PAX6/Other",3512,"H200.1030","M","MTG_L1",59.2635319281401
"LS-15570_S76_E1-50","Inh L1-3 VIP CHRM2","GABAergic","VIP",2976,"H200.1030","M","MTG_L1",54.75829054159
"LS-15570_S78_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",3049,"H200.1030","M","MTG_L1",45.1751338098846
"LS-15570_S82_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",4142,"H200.1030","M","MTG_L1",51.5091631391053
"LS-15570_S83_E1-50","Inh L1-2 VIP PCDH20","GABAergic","VIP",3212,"H200.1030","M","MTG_L1",56.2675488341751
"LS-15570_S84_E1-50","Inh L1 LAMP5 NMBR","GABAergic","LAMP5/PAX6/Other",3757,"H200.1030","M","MTG_L1",38.3800760953884
"LS-15570_S85_E1-50","Inh L1 LAMP5 NMBR","GABAergic","LAMP5/PAX6/Other",2836,"H200.1030","M","MTG_L1",58.4812730401215
"LS-15570_S87_E1-50","Exc L2 LAMP5 LTK","Glutamatergic","L2/3 IT",4020,"H200.1030","M","MTG_L1",47.9160901970399
"LS-15578_S68_E1-50","Inh L1-4 LAMP5 LCP2","GABAergic","LAMP5/PAX6/Other",2484,"H200.1030","M","MTG_L2",58.8299969717363
"LS-15559_S69_E1-50","Exc L2-4 LINC00507 GLP2R","Glutamatergic","L2/3 IT",4201,"H200.1030","M","MTG_L2",56.5519226905572
"LS-15559_S71_E1-50","Inh L1-3 VIP GGH","GABAergic","VIP",3203,"H200.1030","M","MTG_L2",31.3024617336204
"LS-15570_S89_E1-50","Inh L3-5 SST ADGRG6","GABAergic","SST",3939,"H200.1030","M","MTG_L2",53.2556203165371
"LS-15564_S73_E1-50","Inh L1-3 SST CALB1","GABAergic","SST",2096,"H200.1030","M","MTG_L2",54.2734175628092
"LS-15564_S76_E1-50","Exc L2-4 LINC00507 GLP2R","Glutamatergic","L2/3 IT",3859,"H200.1030","M","MTG_L2",49.1743217896575
"LS-15564_S79_E1-50","Inh L1-3 SST CALB1","GABAergic","SST",1577,"H200.1030","M","MTG_L2",47.1519305496572
"LS-15564_S85_E1-50","Inh L1-3 SST CALB1","GABAergic","SST",1827,"H200.1030","M","MTG_L2",57.1265763149896
"LS-15564_S87_E1-50","Inh L2-6 VIP QPCT","GABAergic","VIP",3831,"H200.1030","M","MTG_L2",45.5815149614146
"LS-15564_S94_E1-50","Inh L1-3 SST CALB1","GABAergic","SST",2295,"H200.1030","M","MTG_L2",51.7580678890131
"LS-15564_S95_E1-50","Inh L1-3 SST CALB1","GABAergic","SST",3982,"H200.1030","M","MTG_L2",55.1894136915312
"LS-15565_S65_E1-50","Inh L1-3 SST CALB1","GABAergic","SST",2302,"H200.1030","M","MTG_L2",61.947867321419
"LS-15565_S68_E1-50","Exc L2 LAMP5 LTK","Glutamatergic","L2/3 IT",4190,"H200.1030","M","MTG_L2",55.3372834276382
"LS-15565_S71_E1-50","Inh L1-2 VIP LBH","GABAergic","VIP",3277,"H200.1030","M","MTG_L2",54.6076110584426
"LS-15565_S74_E1-50","Exc L2 LAMP5 LTK","Glutamatergic","L2/3 IT",4100,"H200.1030","M","MTG_L2",49.1673627462723
"LS-15565_S78_E1-50","Inh L1-3 VIP GGH","GABAergic","VIP",3104,"H200.1030","M","MTG_L2",38.1157056307886
"LS-15565_S79_E1-50","Exc L2-3 LINC00507 FREM3","Glutamatergic","L2/3 IT",7776,"H200.1030","M","MTG_L2",55.5366794516954
"LS-15566_S77_E1-50","Inh L1-2 PAX6 CDH12","GABAergic","LAMP5/PAX6/Other",3998,"H200.1030","M","MTG_L2",38.3374315535526
"LS-15566_S78_E1-50","Inh L1-4 LAMP5 LCP2","GABAergic","LAMP5/PAX6/Other",3919,"H200.1030","M","MTG_L2",41.1268128862338
"LS-15566_S81_E1-50","Inh L1-3 VIP CHRM2","GABAergic","VIP",3075,"H200.1030","M","MTG_L2",40.8444677918064
"LS-15566_S84_E1-50","Inh L2-4 VIP CBLN1","GABAergic","VIP",2912,"H200.1030","M","MTG_L2",38.1340724680272
"LS-15566_S85_E1-50","Inh L1-3 VIP CCDC184","GABAergic","VIP",3768,"H200.1030","M","MTG_L2",35.4013092723923
"LS-15567_S73_E1-50","Inh L1-4 LAMP5 LCP2","GABAergic","LAMP5/PAX6/Other",3472,"H200.1030","M","MTG_L2",46.0837367426543
"LS-15567_S74_E1-50","Inh L1-3 VIP CCDC184","GABAergic","VIP",3657,"H200.1030","M","MTG_L2",46.8512446280139
"LS-15567_S76_E1-50","Inh L2-4 SST FRZB","GABAergic","SST",2596,"H200.1030","M","MTG_L2",55.7681877633841
"LS-15567_S78_E1-50","Inh L1-4 VIP PENK","GABAergic","VIP",4702,"H200.1030","M","MTG_L2",55.3861262215824
"LS-15567_S80_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",2197,"H200.1030","M","MTG_L2",42.5302837475661
"LS-15567_S81_E1-50","Inh L1-3 VIP GGH","GABAergic","VIP",3525,"H200.1030","M","MTG_L2",51.1617876804945
"LS-15567_S82_E1-50","Inh L1-3 VIP ADAMTSL1","GABAergic","VIP",3346,"H200.1030","M","MTG_L2",54.4699058154382
"LS-15567_S85_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",2652,"H200.1030","M","MTG_L2",47.4159929012726
"LS-15568_S50_E1-50","Exc L2 LAMP5 LTK","Glutamatergic","L2/3 IT",3917,"H200.1030","M","MTG_L2",53.1714347857309
"LS-15568_S52_E1-50","Exc L2-3 LINC00507 FREM3","Glutamatergic","L2/3 IT",5801,"H200.1030","M","MTG_L2",57.6634894830221
"LS-15568_S63_E1-50","Inh L2-5 PVALB SCUBE3","GABAergic","Chandelier",2849,"H200.1030","M","MTG_L2",55.950647102126
"LS-15569_S53_E1-50","Inh L1-3 VIP GGH","GABAergic","VIP",3374,"H200.1030","M","MTG_L2",42.4830696279424
"LS-15569_S54_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",2795,"H200.1030","M","MTG_L2",49.1737868160741
"LS-15569_S55_E1-50","Exc L2 LAMP5 LTK","Glutamatergic","L2/3 IT",3715,"H200.1030","M","MTG_L2",46.5146949890295
"LS-15569_S58_E1-50","Inh L3-6 SST NPY","GABAergic","Sst Chodl",4250,"H200.1030","M","MTG_L2",50.5696618424093
"LS-15569_S63_E1-50","Inh L2-6 VIP QPCT","GABAergic","VIP",3592,"H200.1030","M","MTG_L2",38.9909739441693
"SQ-80007_S73_E1-50","Inh L1-3 VIP CHRM2","GABAergic","VIP",2531,"H200.1030","M","MTG_L2",44.1369813923143
"SQ-80007_S78_E1-50","Inh L1-4 VIP CHRNA6","GABAergic","VIP",2557,"H200.1030","M","MTG_L2",49.2242060145585
"SQ-80007_S92_E1-50","Exc L2-3 LINC00507 FREM3","Glutamatergic","L2/3 IT",3981,"H200.1030","M","MTG_L2",52.0989876261416
"SQ-80007_S93_E1-50","Exc L2-4 LINC00507 GLP2R","Glutamatergic","L2/3 IT",4043,"H200.1030","M","MTG_L2",54.0969767669585
"SQ-80007_S94_E1-50","Exc L2-3 LINC00507 FREM3","Glutamatergic","L2/3 IT",4817,"H200.1030","M","MTG_L2",57.9303118722746
"SQ-80007_S96_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",1898,"H200.1030","M","MTG_L2",53.9222287463314
"SQ-80009_S73_E1-50","Inh L1-3 VIP CCDC184","GABAergic","VIP",4577,"H200.1030","M","MTG_L2",50.5557432997831
"SQ-80009_S76_E1-50","Inh L1-3 VIP GGH","GABAergic","VIP",3394,"H200.1030","M","MTG_L2",37.6237675690126
"SQ-80009_S86_E1-50","Inh L1 LAMP5 NMBR","GABAergic","LAMP5/PAX6/Other",3387,"H200.1030","M","MTG_L2",59.979259200637
"SQ-80009_S90_E1-50","Inh L2-4 PVALB WFDC2","GABAergic","PVALB",5019,"H200.1030","M","MTG_L2",45.1428727654181
"SQ-80009_S96_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",2259,"H200.1030","M","MTG_L2",53.2589164378306
"SQ-80013_S33_E1-50","Exc L2-4 LINC00507 GLP2R","Glutamatergic","L2/3 IT",4290,"H200.1030","M","MTG_L2",55.8137025178478
"SQ-80013_S34_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",2625,"H200.1030","M","MTG_L2",60.9704222819464
"SQ-80013_S35_E1-50","Inh L2-4 PVALB WFDC2","GABAergic","PVALB",4049,"H200.1030","M","MTG_L2",48.5433706404255
"SQ-80013_S43_E1-50","Inh L2-3 VIP CASC6","GABAergic","VIP",5085,"H200.1030","M","MTG_L2",46.0129896807422
"SQ-80013_S48_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",1846,"H200.1030","M","MTG_L2",59.7265809553058
"SQ-80013_S50_E1-50","Inh L1-2 ADARB2 MC4R","GABAergic","LAMP5/PAX6/Other",3003,"H200.1030","M","MTG_L2",51.9962562885608
"SQ-80013_S51_E1-50","Inh L1-3 SST CALB1","GABAergic","SST",2091,"H200.1030","M","MTG_L2",58.6463295403406
"SQ-80013_S54_E1-50","Inh L1-3 VIP CHRM2","GABAergic","VIP",2976,"H200.1030","M","MTG_L2",43.9972348875061
"SQ-80016_S85_E1-50","Inh L1-3 VIP GGH","GABAergic","VIP",3290,"H200.1030","M","MTG_L2",34.4552230480824
"SQ-80016_S92_E1-50","Inh L1-3 VIP SYT6","GABAergic","VIP",5502,"H200.1030","M","MTG_L2",49.5214654407826
"SM-CZ1X2_S58_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",3196,"H200.1030","M","MTG_L2",54.6879023486343
"SM-CZ1X2_S59_E1-50","Inh L1-2 SST BAGE2","GABAergic","LAMP5/PAX6/Other",3197,"H200.1030","M","MTG_L2",51.2184833348791
"SM-CZ1X2_S69_E1-50","Inh L2-4 SST FRZB","GABAergic","SST",3420,"H200.1030","M","MTG_L2",54.6282177433868
"SM-CZ1X2_S70_E1-50","Inh L1-3 VIP CHRM2","GABAergic","VIP",4506,"H200.1030","M","MTG_L2",54.276305389585
"SM-CZ1X2_S71_E1-50","Exc L2-3 LINC00507 FREM3","Glutamatergic","L2/3 IT",4939,"H200.1030","M","MTG_L2",53.9905352263747
"LS-15578_S77_E1-50","Inh L1-3 VIP CHRM2","GABAergic","VIP",3288,"H200.1030","M","MTG_L3",43.925709319953
"LS-15559_S73_E1-50","Inh L2-4 VIP SPAG17","GABAergic","VIP",3309,"H200.1030","M","MTG_L3",60.5937412746912
"LS-15559_S75_E1-50","Inh L2-4 SST FRZB","GABAergic","SST",3317,"H200.1030","M","MTG_L3",55.2938566094329
"LS-15559_S78_E1-50","Inh L2-4 PVALB WFDC2","GABAergic","PVALB",4478,"H200.1030","M","MTG_L3",52.8529351984052
"LS-15559_S79_E1-50","Inh L3-5 SST ADGRG6","GABAergic","SST",2893,"H200.1030","M","MTG_L3",58.779001178087
"LS-15565_S83_E1-50","Inh L3-5 SST ADGRG6","GABAergic","SST",2330,"H200.1030","M","MTG_L3",49.6407904601625
"LS-15565_S86_E1-50","Inh L1-3 SST CALB1","GABAergic","SST",3563,"H200.1030","M","MTG_L3",56.8849693354034
"LS-15568_S74_E1-50","Inh L3-6 VIP HS3ST3A1","GABAergic","VIP",4051,"H200.1030","M","MTG_L3",50.2373577144504
"LS-15568_S76_E1-50","Exc L3-5 RORB COL22A1","Glutamatergic","L4 IT",3788,"H200.1030","M","MTG_L3",62.8722743434955
"LS-15568_S82_E1-50","Inh L1-3 VIP CCDC184","GABAergic","VIP",3931,"H200.1030","M","MTG_L3",51.5867232293863
"LS-15568_S84_E1-50","Inh L3-5 SST ADGRG6","GABAergic","SST",4386,"H200.1030","M","MTG_L3",58.2104182451812
"LS-15569_S69_E1-50","Inh L1-4 VIP CHRNA6","GABAergic","VIP",3588,"H200.1030","M","MTG_L3",56.7714083811683
"LS-15569_S71_E1-50","Inh L3-5 SST ADGRG6","GABAergic","SST",3133,"H200.1030","M","MTG_L3",54.0949200369508
"LS-15569_S84_E1-50","Inh L1-3 VIP CCDC184","GABAergic","VIP",4145,"H200.1030","M","MTG_L3",47.5674933988035
"LS-15569_S85_E1-50","Inh L2-4 SST FRZB","GABAergic","SST",3517,"H200.1030","M","MTG_L3",55.9775776528099
"LS-15569_S86_E1-50","Inh L2-3 VIP CASC6","GABAergic","VIP",5569,"H200.1030","M","MTG_L3",49.209813185602
"LS-15569_S87_E1-50","Inh L1-4 VIP OPRM1","GABAergic","VIP",2534,"H200.1030","M","MTG_L3",61.2830854965252
"LS-15569_S88_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",2226,"H200.1030","M","MTG_L3",57.7645192057023
"SM-CZ1X3_S42_E1-50","Inh L2-4 VIP CBLN1","GABAergic","VIP",2205,"H200.1030","M","MTG_L3",61.8750181551664
"SM-CZ1X3_S43_E1-50","Exc L2-4 LINC00507 GLP2R","Glutamatergic","L2/3 IT",3148,"H200.1030","M","MTG_L3",58.3684240970138
"SM-CZ1X3_S46_E1-50","Inh L1-3 VIP ADAMTSL1","GABAergic","VIP",3830,"H200.1030","M","MTG_L3",50.4377124833482
"SM-CZ1X3_S48_E1-50","OPC L1-6 PDGFRA","Non-neuronal","OPC",1876,"H200.1030","M","MTG_L3",50.0027239914392
"SM-CZ1X3_S50_E1-50","Inh L2-4 PVALB WFDC2","GABAergic","PVALB",3623,"H200.1030","M","MTG_L3",44.1887641846161
"SM-CZ1X3_S51_E1-50","Inh L2-4 VIP SPAG17","GABAergic","VIP",3604,"H200.1030","M","MTG_L3",44.6476160398581
"SM-CZ1X3_S52_E1-50","Inh L3-5 SST ADGRG6","GABAergic","SST",2652,"H200.1030","M","MTG_L3",55.4446851631313
"SM-CZ1X3_S61_E1-50","Inh L1-3 VIP CHRM2","GABAergic","VIP",3514,"H200.1030","M","MTG_L3",49.6188653796265
"SM-CZ1X3_S63_E1-50","Inh L2-4 SST FRZB","GABAergic","SST",2080,"H200.1030","M","MTG_L3",49.0133857325976
"SM-CZ1X4_S44_E1-50","Inh L1-4 LAMP5 LCP2","GABAergic","LAMP5/PAX6/Other",4114,"H200.1030","M","MTG_L3",53.2202219286631
"SM-CZ1X4_S47_E1-50","Inh L2-4 VIP SPAG17","GABAergic","VIP",3763,"H200.1030","M","MTG_L3",44.9679567592328
"SM-CZ1X4_S49_E1-50","Inh L2-4 SST FRZB","GABAergic","SST",3425,"H200.1030","M","MTG_L3",46.1181474677776
"SM-CZ1X4_S51_E1-50","Inh L3-5 SST ADGRG6","GABAergic","SST",2508,"H200.1030","M","MTG_L3",51.7175417322653
"SM-CZ1X4_S52_E1-50","Exc L2-4 LINC00507 GLP2R","Glutamatergic","L2/3 IT",3341,"H200.1030","M","MTG_L3",51.7940501760596
"SM-CZ1X4_S54_E1-50","Inh L1-3 VIP CCDC184","GABAergic","VIP",5199,"H200.1030","M","MTG_L3",44.3134122606509
"SM-CZ1X4_S55_E1-50","Inh L2-4 VIP CBLN1","GABAergic","VIP",2803,"H200.1030","M","MTG_L3",52.6742281342034
"SM-CZ1X4_S60_E1-50","Exc L2-4 LINC00507 GLP2R","Glutamatergic","L2/3 IT",3834,"H200.1030","M","MTG_L3",49.7733543581814
"SM-CZ1X4_S62_E1-50","Inh L1-4 LAMP5 LCP2","GABAergic","LAMP5/PAX6/Other",2694,"H200.1030","M","MTG_L3",59.8603186325928
"SM-CZ1X5_S28_E1-50","Inh L1-3 VIP SYT6","GABAergic","VIP",4914,"H200.1030","M","MTG_L3",50.1194568746215
"SM-CZ1X5_S42_E1-50","Inh L3-5 SST ADGRG6","GABAergic","SST",1836,"H200.1030","M","MTG_L3",52.4610787663824
"SM-CZ1X5_S50_E1-50","Inh L2-4 VIP SPAG17","GABAergic","VIP",3372,"H200.1030","M","MTG_L3",61.7198956482267
"SM-CZ1X5_S51_E1-50","Exc L3-5 RORB FILIP1L","Glutamatergic","L4 IT",3438,"H200.1030","M","MTG_L3",64.8346223446602
"SM-CZ1X5_S56_E1-50","Astro L1-6 FGFR3 SLC14A1","Non-neuronal","Astrocyte",2065,"H200.1030","M","MTG_L3",51.7478822139484
"SM-CZ1X5_S57_E1-50","Exc L3-4 RORB CARM1P1","Glutamatergic","L4 IT",5955,"H200.1030","M","MTG_L3",64.0204273732242
"SM-CZ1X5_S61_E1-50","Inh L2-3 VIP CASC6","GABAergic","VIP",4899,"H200.1030","M","MTG_L3",50.9163779822892
"SM-CZ1X5_S62_E1-50","Inh L2-4 SST FRZB","GABAergic","SST",3719,"H200.1030","M","MTG_L3",46.4885883930534
"SM-CZ1X5_S63_E1-50","Exc L2-4 LINC00507 GLP2R","Glutamatergic","L2/3 IT",4542,"H200.1030","M","MTG_L3",47.9872984671966
"SM-CZ1X5_S64_E1-50","Oligo L1-6 OPALIN","Non-neuronal","Oligo",2040,"H200.1030","M","MTG_L3",54.4068077930259
"SM-CZ1X6_S25_E1-50","Inh L1-3 SST CALB1","GABAergic","SST",2144,"H200.1030","M","MTG_L3",56.6819671042629
"SM-CZ1X6_S26_E1-50","Exc L3-5 RORB COL22A1","Glutamatergic","L4 IT",4109,"H200.1030","M","MTG_L3",56.1676295604477
"SM-CZ1X6_S27_E1-50","Inh L3-5 SST ADGRG6","GABAergic","SST",2683,"H200.1030","M","MTG_L3",59.5663476196859
"SM-CZ1X6_S28_E1-50","Inh L3-5 SST ADGRG6","GABAergic","SST",3152,"H200.1030","M","MTG_L3",60.209264823534
"SM-CZ1X6_S31_E1-50","Inh L1-3 VIP ADAMTSL1","GABAergic","VIP",3642,"H200.1030","M","MTG_L3",49.5117390796252
"SM-CZ1X6_S32_E1-50","Oligo L1-6 OPALIN","Non-neuronal","Oligo",1487,"H200.1030","M","MTG_L3",48.8550901724418
